model,path,slice_idx,spleen_dice,rkidney_dice,lkidney_dice,liver_dice,aorta_dice
SAM-vit_h,img0001.nii.gz,109,0.9597523219814241,0.9711188278140086,0.9458181818181818,0.9354326310460996,0.9413533834586466
SAM-vit_h,img0001.nii.gz,110,0.9486151603498543,0.9814159292035398,0.9478604818410644,0.9420472705862563,0.9013513513513514
SAM-vit_h,img0001.nii.gz,111,0.9670224629600127,0.9632606199770379,0.9533669586762233,0.9448249375920118,0.8881491344873502
SAM-vit_h,img0001.nii.gz,112,0.9654684404189074,0.965610772062385,0.9553308823529412,0.9536514239622759,0.8640776699029126
SAM-vit_h,img0001.nii.gz,113,0.9777947932618682,0.924315952503872,0.9589700842826712,0.9541309543745338,0.9417098445595855
SAM-vit_h,img0001.nii.gz,114,0.9698862926402599,0.9111518204717197,0.9749255452012682,0.9518543492919758,0.875766016713092
SAM-vit_h,img0001.nii.gz,115,0.9642686993806574,0.9429896344789962,0.9722784297855119,0.9594966691339748,0.9409304756926293
SAM-vit_h,img0001.nii.gz,116,0.9743589743589743,0.8733001658374793,0.9729787690328114,0.9566512865759289,0.93732667775929
SAM-vit_h,img0001.nii.gz,117,0.9706791768845293,0.9289204797867614,0.9505092869982025,0.9547053090970722,0.9349046015712682
SAM-vit_h,img0001.nii.gz,118,0.9398606887079368,nan,0.9513425105629004,0.8629655138485758,0.9361702127659575
SAM-vit_h,img0001.nii.gz,119,0.8416593631317558,nan,0.9524598310419082,0.9405457961607694,0.9267480577136515
SAM-vit_h,img0001.nii.gz,120,0.8149072550910431,nan,0.9263698630136986,0.8145506419400856,0.9138321995464853
SAM-vit_h,img0001.nii.gz,121,0.8777482740308019,nan,0.9296307983591038,0.8941235644228351,0.8900462962962963
SAM-vit_h,img0001.nii.gz,122,0.9023431670066165,nan,0.8239234449760765,0.9354871074546002,0.8870084619213539
SAM-vit_h,img0001.nii.gz,123,0.9728018989219662,nan,nan,0.8455141549868079,0.9387370405278039
SAM-vit_h,img0001.nii.gz,124,0.9821564160971906,nan,nan,0.8339496468191582,0.9117082533589251
SAM-vit_h,img0001.nii.gz,125,0.9817645975317738,nan,nan,0.8491215276986532,0.8741092636579573
SAM-vit_h,img0001.nii.gz,126,0.980660682890719,nan,nan,0.8518765423435435,0.9170684667309547
SAM-vit_h,img0001.nii.gz,127,0.9828801611278952,nan,nan,0.8454742178066306,0.9394512771996215
SAM-vit_h,img0001.nii.gz,128,0.978713706185332,nan,nan,0.855337361530715,0.9376146788990826
SAM-vit_h,img0001.nii.gz,129,0.9800970213537652,nan,nan,0.862833602980164,0.9264641127256715
SAM-vit_h,img0001.nii.gz,130,0.9741172204342505,nan,nan,0.9034923483992758,0.9442993907745866
SAM-vit_h,img0001.nii.gz,131,0.9800137205579693,nan,nan,0.8201046018223085,0.8839823364110799
SAM-vit_h,img0001.nii.gz,132,0.9710944499457727,nan,nan,0.7630723467544884,0.9108356657337066
SAM-vit_h,img0001.nii.gz,133,0.9741017603086568,nan,nan,0.7484478138683747,0.9103885804916733
SAM-vit_h,img0001.nii.gz,134,0.9637619071619374,nan,nan,0.7411232304478997,0.9198926791874281
SAM-vit_h,img0001.nii.gz,135,0.928125,nan,nan,0.5193844924060751,0.9421793921423276
SAM-vit_h,img0001.nii.gz,136,0.8756582959144077,nan,nan,0.0,0.92079940784604
SAM-vit_h,img0001.nii.gz,137,0.8607165304839723,nan,nan,nan,0.8650703154694033
SAM-vit_h,img0001.nii.gz,138,0.8509770069842266,nan,nan,nan,0.8860083873427373
SAM-vit_h,img0001.nii.gz,139,0.7819424311451646,nan,nan,nan,0.8743088831551787
SAM-vit_h,img0001.nii.gz,140,0.5043147208121828,nan,nan,nan,0.8841300191204589
SAM-vit_h,img0001.nii.gz,141,0.0,nan,nan,nan,0.8628048780487805
SAM-vit_h,img0001.nii.gz,142,nan,nan,nan,nan,0.884235480047412
SAM-vit_h,img0001.nii.gz,143,nan,nan,nan,nan,0.8796260225944682
SAM-vit_h,img0001.nii.gz,144,nan,nan,nan,nan,0.8851164626924596
SAM-vit_h,img0001.nii.gz,145,nan,nan,nan,nan,0.8569112282124037
SAM-vit_h,img0001.nii.gz,146,nan,nan,nan,nan,0.7870967741935484
SAM-vit_h,img0002.nii.gz,0,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,1,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,2,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,3,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,4,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,5,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,6,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,7,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,8,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,9,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,10,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,11,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,12,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,13,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,14,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,15,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,16,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,17,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,18,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,19,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,20,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,21,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,22,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,23,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,24,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,25,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,26,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,27,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,28,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,29,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,30,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,31,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,32,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,33,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,34,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,35,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,36,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,37,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,38,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,39,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,40,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,41,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,42,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,43,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,44,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,45,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,46,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,47,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,48,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,49,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,50,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,51,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,52,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,53,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,54,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,55,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,56,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,57,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,58,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,59,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,60,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,61,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,62,nan,nan,nan,nan,nan
SAM-vit_h,img0002.nii.gz,63,nan,nan,nan,nan,0.0
SAM-vit_h,img0002.nii.gz,64,nan,nan,nan,nan,0.0
SAM-vit_h,img0002.nii.gz,65,nan,nan,nan,nan,0.0
SAM-vit_h,img0002.nii.gz,66,nan,nan,nan,nan,0.0
SAM-vit_h,img0002.nii.gz,67,nan,nan,nan,nan,0.9271383315733897
SAM-vit_h,img0002.nii.gz,68,nan,nan,nan,nan,0.8899297423887588
SAM-vit_h,img0002.nii.gz,69,nan,nan,nan,nan,0.9178743961352657
SAM-vit_h,img0002.nii.gz,70,nan,nan,nan,nan,0.8524590163934426
SAM-vit_h,img0002.nii.gz,71,nan,nan,nan,nan,0.8698710433763188
SAM-vit_h,img0002.nii.gz,72,nan,nan,nan,nan,0.9268897149938042
SAM-vit_h,img0002.nii.gz,73,nan,nan,nan,nan,0.841726618705036
SAM-vit_h,img0002.nii.gz,74,nan,0.6260032102728732,nan,nan,0.8047058823529412
SAM-vit_h,img0002.nii.gz,75,nan,0.8833592534992224,nan,nan,0.8848484848484849
SAM-vit_h,img0002.nii.gz,76,nan,0.924643584521385,nan,nan,0.8577878103837472
SAM-vit_h,img0002.nii.gz,77,nan,0.9142586451918522,nan,nan,0.8353808353808354
SAM-vit_h,img0002.nii.gz,78,nan,0.9471134436818732,nan,0.3882940756602427,0.8463356973995272
SAM-vit_h,img0002.nii.gz,79,nan,0.9498013723365836,nan,0.4903061224489796,0.9167701863354037
SAM-vit_h,img0002.nii.gz,80,nan,0.9476439790575916,nan,0.6810539523212045,0.88
SAM-vit_h,img0002.nii.gz,81,nan,0.9471087124132613,0.7298335467349552,0.6139386416031212,0.9001203369434416
SAM-vit_h,img0002.nii.gz,82,nan,0.9197987570287067,0.8618988902589396,0.6096866096866097,0.8759493670886076
SAM-vit_h,img0002.nii.gz,83,nan,0.9225560727888278,0.9380294248773964,0.732451403887689,0.9045092838196287
SAM-vit_h,img0002.nii.gz,84,nan,0.9244359880402283,0.9334239130434783,0.7906917920829645,0.9376498800959233
SAM-vit_h,img0002.nii.gz,85,nan,0.9423259601031347,0.9495295124037639,0.8199074074074074,0.935031847133758
SAM-vit_h,img0002.nii.gz,86,nan,0.9236736390081729,0.9585253456221198,0.8904065040650406,0.9136786188579017
SAM-vit_h,img0002.nii.gz,87,nan,0.9111268603827073,0.9742616033755275,0.9260899517764,0.9254108723135271
